Plataforma,Relevancia,!agenda_base,!agenda_remota,!modulo_medico,!teleconsultas,!administracion,!finanzas,!atención_cliente,!otros,Costo mensual
Medsi,2. Media ☀️,Yes,No,Yes,No,Yes,Yes,No,No,
Medesk,3. Alta 🔥,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,
Clinic Cloud,3. Alta 🔥,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1400
RICOH SmartDoctor,1. Baja 🥶,No,No,Yes,No,No,No,No,No,
BluMedica,,No,No,No,No,No,No,No,No,
Eleonor,,No,No,No,No,No,No,No,No,
Medlink,,No,No,No,No,No,No,No,No,
Agendapro,,No,No,No,No,No,No,No,No,
Medfar Myle,,No,No,No,No,No,No,No,No,
DriCloud,3. Alta 🔥,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5432.31
Nubimed,,No,No,No,No,No,No,No,No,5430.05
SO,,No,No,No,No,No,No,No,No,
DrApp,,No,No,No,No,No,No,No,No,
Infomed,,No,No,No,No,No,No,No,No,
XClinics,,No,No,No,No,No,No,No,No,
Salus,,No,No,No,No,No,No,No,No,
MNProgram,,No,No,No,No,No,No,No,No,
Ofimedic,,No,No,No,No,No,No,No,No,
Medigest Axon,,No,No,No,No,No,No,No,No,
Nimbo,,No,No,No,No,No,No,No,No,
Nubimed,,No,No,No,No,No,No,No,No,
Dasi Clinic,,No,No,No,No,No,No,No,No,
Clinics SFT,,No,No,No,No,No,No,No,No,
EsiClinic,,No,No,No,No,No,No,No,No,
NaturalSoft,,No,No,No,No,No,No,No,No,
benchmark,,No,No,No,No,No,No,No,No,
